utterance,cypher
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
Who follows Matt Damon?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Matt Damon'}) RETURN follower.name AS follower;
Which movies feature at least 7 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 7 RETURN m.title AS title, actorCount;"
How many movies has Chris Evans acted in?,MATCH (:Person {name: 'Chris Evans'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Who follows Pedro Pascal?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Pedro Pascal'}) RETURN follower.name AS follower;
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
Which actors acted in 'Mad Max: Fury Road'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Mad Max: Fury Road'}) RETURN p.name AS actor;
Show me movies whose title contains the word 'war'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'war' RETURN m.title AS title, m.released AS year;"
List all movies released in 1989.,MATCH (m:Movie) WHERE m.released = 1989 RETURN m.title AS title;
Who follows John Boyega?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'John Boyega'}) RETURN follower.name AS follower;
List actors who have acted with Viola Davis.,MATCH (p1:Person {name: 'Viola Davis'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Who directed the movie 'The Shawshank Redemption'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'The Shawshank Redemption'}) RETURN d.name AS director;
Who follows Oscar Isaac?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Oscar Isaac'}) RETURN follower.name AS follower;
Who directed the movie 'Interstellar'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Interstellar'}) RETURN d.name AS director;
Find all people born in 2024.,MATCH (p:Person) WHERE p.born = 2024 RETURN p.name AS person;
Who follows Brad Pitt?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Brad Pitt'}) RETURN follower.name AS follower;
Who follows Leonardo DiCaprio?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Leonardo DiCaprio'}) RETURN follower.name AS follower;
How many movies has Timothee Chalamet acted in?,MATCH (:Person {name: 'Timothee Chalamet'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
List actors who have acted with Emily Blunt.,MATCH (p1:Person {name: 'Emily Blunt'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
How many movies has Keanu Reeves acted in?,MATCH (:Person {name: 'Keanu Reeves'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
How many movies has Tom Hanks acted in?,MATCH (:Person {name: 'Tom Hanks'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
List actors who have acted with Hugh Jackman.,MATCH (p1:Person {name: 'Hugh Jackman'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show me movies whose title contains the word 'star'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'star' RETURN m.title AS title, m.released AS year;"
How many movies has Rami Malek acted in?,MATCH (:Person {name: 'Rami Malek'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which movies feature at least 5 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 5 RETURN m.title AS title, actorCount;"
List actors who have acted with Samuel L. Jackson.,MATCH (p1:Person {name: 'Samuel L. Jackson'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Find all people born in 2009.,MATCH (p:Person) WHERE p.born = 2009 RETURN p.name AS person;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which movies feature at least 10 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 10 RETURN m.title AS title, actorCount;"
List actors who have acted with Paul Rudd.,MATCH (p1:Person {name: 'Paul Rudd'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Who follows Ryan Gosling?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Ryan Gosling'}) RETURN follower.name AS follower;
How many movies has Sandra Bullock acted in?,MATCH (:Person {name: 'Sandra Bullock'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Show me movies whose title contains the word 'night'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'night' RETURN m.title AS title, m.released AS year;"
Which movies feature at least 6 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 6 RETURN m.title AS title, actorCount;"
Which movies feature at least 9 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 9 RETURN m.title AS title, actorCount;"
How many movies has Scarlett Johansson acted in?,MATCH (:Person {name: 'Scarlett Johansson'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which movies feature at least 8 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 8 RETURN m.title AS title, actorCount;"
Which actors acted in 'Her'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Her'}) RETURN p.name AS actor;
Who directed the movie 'The Social Network'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'The Social Network'}) RETURN d.name AS director;
Find all people born in 1991.,MATCH (p:Person) WHERE p.born = 1991 RETURN p.name AS person;
Find all people born in 2008.,MATCH (p:Person) WHERE p.born = 2008 RETURN p.name AS person;
Find all people born in 2005.,MATCH (p:Person) WHERE p.born = 2005 RETURN p.name AS person;
List all movies released in 2003.,MATCH (m:Movie) WHERE m.released = 2003 RETURN m.title AS title;
Who directed the movie 'Fight Club'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Fight Club'}) RETURN d.name AS director;
Who directed the movie 'The Wolf of Wall Street'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'The Wolf of Wall Street'}) RETURN d.name AS director;
Which movies feature at least 6 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 6 RETURN m.title AS title, actorCount;"
Which movies feature at least 10 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 10 RETURN m.title AS title, actorCount;"
Which movies feature at least 3 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 3 RETURN m.title AS title, actorCount;"
Show me movies whose title contains the word 'night'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'night' RETURN m.title AS title, m.released AS year;"
Who directed the movie 'Django Unchained'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Django Unchained'}) RETURN d.name AS director;
Who directed the movie 'Mad Max: Fury Road'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Mad Max: Fury Road'}) RETURN d.name AS director;
Who follows Meryl Streep?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Meryl Streep'}) RETURN follower.name AS follower;
Which movies feature at least 8 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 8 RETURN m.title AS title, actorCount;"
List actors who have acted with Chadwick Boseman.,MATCH (p1:Person {name: 'Chadwick Boseman'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
How many movies has Denzel Washington acted in?,MATCH (:Person {name: 'Denzel Washington'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which movies feature at least 7 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 7 RETURN m.title AS title, actorCount;"
Find all people born in 1986.,MATCH (p:Person) WHERE p.born = 1986 RETURN p.name AS person;
Who directed the movie 'Forrest Gump'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Forrest Gump'}) RETURN d.name AS director;
Who directed the movie 'Se7en'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Se7en'}) RETURN d.name AS director;
Show me movies whose title contains the word 'king'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'king' RETURN m.title AS title, m.released AS year;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which actors acted in 'Avatar'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Avatar'}) RETURN p.name AS actor;
Who directed the movie 'Gone Girl'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Gone Girl'}) RETURN d.name AS director;
Find all people born in 2016.,MATCH (p:Person) WHERE p.born = 2016 RETURN p.name AS person;
Who follows Mahershala Ali?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Mahershala Ali'}) RETURN follower.name AS follower;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Who follows Christian Bale?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Christian Bale'}) RETURN follower.name AS follower;
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
Who directed the movie 'Parasite'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Parasite'}) RETURN d.name AS director;
Who directed the movie 'Birdman'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Birdman'}) RETURN d.name AS director;
Which actors acted in 'Mad Max: Fury Road'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Mad Max: Fury Road'}) RETURN p.name AS actor;
List all movies released in 2015.,MATCH (m:Movie) WHERE m.released = 2015 RETURN m.title AS title;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which actors acted in 'Whiplash'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Whiplash'}) RETURN p.name AS actor;
List all movies released in 1973.,MATCH (m:Movie) WHERE m.released = 1973 RETURN m.title AS title;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Find all people born in 2014.,MATCH (p:Person) WHERE p.born = 2014 RETURN p.name AS person;
Which actors acted in 'Spirited Away'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Spirited Away'}) RETURN p.name AS actor;
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
List all movies released in 2006.,MATCH (m:Movie) WHERE m.released = 2006 RETURN m.title AS title;
Find all people born in 2000.,MATCH (p:Person) WHERE p.born = 2000 RETURN p.name AS person;
Which movies feature at least 10 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 10 RETURN m.title AS title, actorCount;"
How many movies has Samuel L. Jackson acted in?,MATCH (:Person {name: 'Samuel L. Jackson'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
List all movies released in 1986.,MATCH (m:Movie) WHERE m.released = 1986 RETURN m.title AS title;
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
Show me movies whose title contains the word 'star'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'star' RETURN m.title AS title, m.released AS year;"
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
Who follows Rami Malek?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Rami Malek'}) RETURN follower.name AS follower;
List all movies released in 1979.,MATCH (m:Movie) WHERE m.released = 1979 RETURN m.title AS title;
Which actors acted in 'Toy Story'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Toy Story'}) RETURN p.name AS actor;
Find all people born in 1975.,MATCH (p:Person) WHERE p.born = 1975 RETURN p.name AS person;
Who directed the movie 'Forrest Gump'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Forrest Gump'}) RETURN d.name AS director;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List actors who have acted with Pedro Pascal.,MATCH (p1:Person {name: 'Pedro Pascal'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Who follows Daniel Kaluuya?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Daniel Kaluuya'}) RETURN follower.name AS follower;
Who directed the movie 'Inside Out'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Inside Out'}) RETURN d.name AS director;
List actors who have acted with Michael B. Jordan.,MATCH (p1:Person {name: 'Michael B. Jordan'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which movies feature at least 7 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 7 RETURN m.title AS title, actorCount;"
Who follows Margot Robbie?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Margot Robbie'}) RETURN follower.name AS follower;
Find all people born in 2006.,MATCH (p:Person) WHERE p.born = 2006 RETURN p.name AS person;
Who follows Natalie Portman?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Natalie Portman'}) RETURN follower.name AS follower;
Who follows Chadwick Boseman?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Chadwick Boseman'}) RETURN follower.name AS follower;
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
Who directed the movie 'Spirited Away'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Spirited Away'}) RETURN d.name AS director;
Who directed the movie 'La La Land'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'La La Land'}) RETURN d.name AS director;
Show me movies whose title contains the word 'dark'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'dark' RETURN m.title AS title, m.released AS year;"
Who directed the movie 'Jurassic Park'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Jurassic Park'}) RETURN d.name AS director;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Show me movies whose title contains the word 'dark'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'dark' RETURN m.title AS title, m.released AS year;"
List all movies released in 1996.,MATCH (m:Movie) WHERE m.released = 1996 RETURN m.title AS title;
Which movies feature at least 10 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 10 RETURN m.title AS title, actorCount;"
Find all people born in 1972.,MATCH (p:Person) WHERE p.born = 1972 RETURN p.name AS person;
Who directed the movie 'Parasite'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Parasite'}) RETURN d.name AS director;
Find all people born in 2014.,MATCH (p:Person) WHERE p.born = 2014 RETURN p.name AS person;
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
Who directed the movie 'La La Land'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'La La Land'}) RETURN d.name AS director;
Who follows Emily Blunt?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Emily Blunt'}) RETURN follower.name AS follower;
Who directed the movie 'Blade Runner 2049'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Blade Runner 2049'}) RETURN d.name AS director;
Show me movies whose title contains the word 'war'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'war' RETURN m.title AS title, m.released AS year;"
Who directed the movie 'Princess Mononoke'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Princess Mononoke'}) RETURN d.name AS director;
Which actors acted in 'Whiplash'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Whiplash'}) RETURN p.name AS actor;
Which actors acted in 'The Shawshank Redemption'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'The Shawshank Redemption'}) RETURN p.name AS actor;
List all movies released in 1980.,MATCH (m:Movie) WHERE m.released = 1980 RETURN m.title AS title;
Find all people born in 2008.,MATCH (p:Person) WHERE p.born = 2008 RETURN p.name AS person;
Who follows Christian Bale?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Christian Bale'}) RETURN follower.name AS follower;
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
Which movies feature at least 7 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 7 RETURN m.title AS title, actorCount;"
List actors who have acted with Ryan Gosling.,MATCH (p1:Person {name: 'Ryan Gosling'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which movies feature at least 10 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 10 RETURN m.title AS title, actorCount;"
Show me movies whose title contains the word 'war'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'war' RETURN m.title AS title, m.released AS year;"
List all movies released in 1997.,MATCH (m:Movie) WHERE m.released = 1997 RETURN m.title AS title;
How many movies has Pedro Pascal acted in?,MATCH (:Person {name: 'Pedro Pascal'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Find all people born in 1971.,MATCH (p:Person) WHERE p.born = 1971 RETURN p.name AS person;
Show me movies whose title contains the word 'dark'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'dark' RETURN m.title AS title, m.released AS year;"
Who follows Ana de Armas?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Ana de Armas'}) RETURN follower.name AS follower;
List all movies released in 2018.,MATCH (m:Movie) WHERE m.released = 2018 RETURN m.title AS title;
Find all people born in 2006.,MATCH (p:Person) WHERE p.born = 2006 RETURN p.name AS person;
List all movies released in 2018.,MATCH (m:Movie) WHERE m.released = 2018 RETURN m.title AS title;
Which actors acted in 'Gone Girl'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Gone Girl'}) RETURN p.name AS actor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which movies feature at least 7 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 7 RETURN m.title AS title, actorCount;"
Which actors acted in 'Up'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Up'}) RETURN p.name AS actor;
List actors who have acted with Rami Malek.,MATCH (p1:Person {name: 'Rami Malek'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
Which movies feature at least 8 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 8 RETURN m.title AS title, actorCount;"
List actors who have acted with Will Smith.,MATCH (p1:Person {name: 'Will Smith'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
How many movies has Emily Blunt acted in?,MATCH (:Person {name: 'Emily Blunt'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
Which actors acted in 'Memento'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Memento'}) RETURN p.name AS actor;
List actors who have acted with Oscar Isaac.,MATCH (p1:Person {name: 'Oscar Isaac'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Which movies feature at least 7 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 7 RETURN m.title AS title, actorCount;"
List actors who have acted with Mahershala Ali.,MATCH (p1:Person {name: 'Mahershala Ali'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List all movies released in 1999.,MATCH (m:Movie) WHERE m.released = 1999 RETURN m.title AS title;
Show me movies whose title contains the word 'night'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'night' RETURN m.title AS title, m.released AS year;"
Find all people born in 1990.,MATCH (p:Person) WHERE p.born = 1990 RETURN p.name AS person;
Show me movies whose title contains the word 'story'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'story' RETURN m.title AS title, m.released AS year;"
List actors who have acted with Mark Ruffalo.,MATCH (p1:Person {name: 'Mark Ruffalo'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
List all movies released in 2012.,MATCH (m:Movie) WHERE m.released = 2012 RETURN m.title AS title;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
Which movies feature at least 9 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 9 RETURN m.title AS title, actorCount;"
List all movies released in 1982.,MATCH (m:Movie) WHERE m.released = 1982 RETURN m.title AS title;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
How many movies has Daniel Kaluuya acted in?,MATCH (:Person {name: 'Daniel Kaluuya'})-[:ACTED_IN]->(m:Movie) RETURN count(m) AS movieCount;
Which movies feature at least 10 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 10 RETURN m.title AS title, actorCount;"
List all movies released in 1983.,MATCH (m:Movie) WHERE m.released = 1983 RETURN m.title AS title;
Find all people born in 2005.,MATCH (p:Person) WHERE p.born = 2005 RETURN p.name AS person;
Which actors acted in 'Parasite'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Parasite'}) RETURN p.name AS actor;
Which movies feature at least 10 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 10 RETURN m.title AS title, actorCount;"
Show me movies whose title contains the word 'love'.,"MATCH (m:Movie) WHERE toLower(m.title) CONTAINS 'love' RETURN m.title AS title, m.released AS year;"
Who follows Sandra Bullock?,MATCH (follower:Person)-[:FOLLOWS]->(p:Person {name: 'Sandra Bullock'}) RETURN follower.name AS follower;
Which actors acted in 'Mad Max: Fury Road'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Mad Max: Fury Road'}) RETURN p.name AS actor;
Show people who both directed and acted in the same movie.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p) RETURN DISTINCT p.name AS person, m.title AS movie;"
List all movies released in 2005.,MATCH (m:Movie) WHERE m.released = 2005 RETURN m.title AS title;
List actors who have acted with Morgan Freeman.,MATCH (p1:Person {name: 'Morgan Freeman'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(co:Person) RETURN DISTINCT co.name AS coActor;
Who directed the movie 'Forrest Gump'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Forrest Gump'}) RETURN d.name AS director;
Which movies feature at least 4 different actors?,"MATCH (m:Movie)<-[:ACTED_IN]-(p:Person) WITH m, count(DISTINCT p) AS actorCount WHERE actorCount >= 4 RETURN m.title AS title, actorCount;"
Which actors acted in 'Her'?,MATCH (p:Person)-[:ACTED_IN]->(m:Movie {title: 'Her'}) RETURN p.name AS actor;
Find all people born in 2002.,MATCH (p:Person) WHERE p.born = 2002 RETURN p.name AS person;
Find all people born in 1996.,MATCH (p:Person) WHERE p.born = 1996 RETURN p.name AS person;
